"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.687791664E-3,7.185058594E-2,2.086660767E-1,9.690847778E0,9.693360341E0
8.343208348E-3,1.020877075E-1,2.401007080E-1,9.615105286E0,9.618644390E0
1.837420836E-2,6.092330933E-2,2.685415649E-1,9.583221588E0,9.587176969E0
2.840520837E-2,-7.035369873E-3,2.721340942E-1,9.651329956E0,9.655168377E0
3.843620833E-2,-3.128494263E-2,2.755769348E-1,9.797575836E0,9.801500582E0
4.846820835E-2,-2.814147949E-2,2.350112915E-1,9.932445374E0,9.935265137E0
5.849920836E-2,7.634124756E-3,2.121089172E-1,1.003318588E1,1.003543060E1
6.853020837E-2,4.894821167E-2,1.824705505E-1,1.002794678E1,1.002972622E1
7.856120833E-2,7.229965210E-2,1.667532349E-1,9.984537048E0,9.986191163E0
8.859320835E-2,5.942642212E-2,1.669029236E-1,9.901310120E0,9.902895040E0
9.862420836E-2,3.457809448E-2,1.422042847E-1,9.835447083E0,9.836535824E0
1.086552084E-1,1.212478638E-2,1.288819885E-1,9.783355408E0,9.784211803E0
1.186862083E-1,-9.280700684E-3,1.303788757E-1,9.755363617E0,9.756239239E0
1.287172083E-1,-2.424957275E-2,1.321751404E-1,9.742191010E0,9.743117775E0
1.387492084E-1,-2.649490356E-2,1.345701599E-1,9.779014435E0,9.779976198E0
1.487802084E-1,-1.392105103E-2,1.339714050E-1,9.830207977E0,9.831130709E0
1.588112083E-1,-1.796264648E-3,1.404080200E-1,9.854756927E0,9.855757289E0
1.688422083E-1,1.077758789E-2,1.510359192E-1,9.871372375E0,9.872533645E0
1.788742084E-1,2.065704346E-2,1.678010559E-1,9.916129303E0,9.917570482E0
1.889052084E-1,1.811233521E-2,1.660047913E-1,9.883646851E0,9.885057446E0
1.989362083E-1,-1.197509766E-3,1.766326904E-1,9.837542725E0,9.839128386E0
2.089672083E-1,-2.125579834E-2,1.963916016E-1,9.814041595E0,9.816029437E0
2.189982084E-1,-4.251159668E-2,2.038760376E-1,9.819729767E0,9.821937964E0
2.290302084E-1,-5.358856201E-2,2.227368164E-1,9.848320312E0,9.850984540E0
2.390612083E-1,-3.682342529E-2,2.421963501E-1,9.876312103E0,9.879349968E0
2.490922083E-1,-2.499801636E-2,2.630030823E-1,9.887987823E0,9.891516503E0
2.591232084E-1,-2.874023438E-2,2.633024597E-1,9.866133270E0,9.869687933E0
2.691542084E-1,-1.317260742E-2,2.662962341E-1,9.860145721E0,9.863749837E0
2.791862083E-1,-5.089416504E-3,2.525248718E-1,9.864786072E0,9.868018999E0
2.892172083E-1,9.430389404E-3,2.119592285E-1,9.874665527E0,9.876944615E0
2.992482084E-1,4.490661621E-3,1.701960754E-1,9.898316345E0,9.899780469E0
3.092792084E-1,2.035766602E-2,1.531315613E-1,9.876312103E0,9.877520158E0
3.193112083E-1,1.362167358E-2,1.234931946E-1,9.800719299E0,9.801506767E0
3.293422083E-1,2.544708252E-3,1.387614441E-1,9.792336731E0,9.793320166E0
3.393732083E-1,-1.047821045E-3,1.414558411E-1,9.864187317E0,9.865201583E0
3.494042084E-1,3.742218018E-2,1.495390320E-1,1.000893631E1,1.001012330E1
3.594352084E-1,9.774673462E-2,1.526824951E-1,1.008872040E1,1.009034913E1
3.694672083E-1,1.017883301E-1,1.276844788E-1,9.896520081E0,9.897867139E0
3.794982083E-1,2.245330811E-2,1.225950623E-1,9.745783539E0,9.746580451E0
3.895292084E-1,-4.415817261E-2,1.317260742E-1,9.733059998E0,9.734051501E0
3.995602084E-1,-6.496490479E-2,1.368154907E-1,9.784103851E0,9.785276035E0
4.095922083E-1,-5.269042969E-2,1.344204712E-1,9.853559418E0,9.854617108E0
4.196232083E-1,-3.442840576E-3,1.625619507E-1,9.833800507E0,9.835144668E0
4.296542084E-1,6.406677246E-2,1.895059204E-1,9.758656769E0,9.760706889E0
4.396852084E-1,7.604187012E-2,2.173480225E-1,9.721084900E0,9.723811709E0
4.497162083E-1,5.074447632E-2,2.597099304E-1,9.760303345E0,9.763889882E0
4.597482083E-1,8.681945801E-3,2.748284912E-1,9.842033386E0,9.845873615E0
4.697792084E-1,-1.841171265E-2,2.859054565E-1,9.934241638E0,9.938371992E0
4.798102084E-1,-3.861968994E-2,2.588117981E-1,9.963131561E0,9.966567390E0
4.898412083E-1,-2.170486450E-2,2.600093079E-1,9.960437164E0,9.963853895E0
4.998732083E-1,1.137634277E-2,2.386038208E-1,9.952204285E0,9.955070634E0
5.099042084E-1,2.649490356E-2,2.163002014E-1,9.954898682E0,9.957283541E0
