"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.744166508E-4,4.827461243E-1,-8.801696777E-2,1.091245743E1,1.092348470E1
1.050541666E-2,7.863148499E-1,-1.227447510E-1,1.028990204E1,1.032063183E1
2.053641668E-2,8.836125183E-1,-5.987548828E-2,9.752968597E0,9.793097192E0
3.056741669E-2,8.397537231E-1,1.058299255E-1,9.159003754E0,9.198028922E0
4.059841664E-2,6.483018494E-1,2.634521484E-1,8.611592102E0,8.639978059E0
5.062941666E-2,4.107458496E-1,3.748205566E-1,8.217910767E0,8.236702008E0
6.066041667E-2,1.598675537E-1,4.324507141E-1,8.096064148E0,8.109181583E0
7.069141668E-2,1.601669312E-2,4.346960449E-1,8.427025909E0,8.438245248E0
8.072341664E-2,2.350112915E-2,3.933819580E-1,9.046886902E0,9.055465989E0
9.075441665E-2,1.248403931E-1,3.552113342E-1,9.768835602E0,9.776088647E0
1.007854167E-1,2.897973633E-1,3.406915283E-1,1.035576508E1,1.036541960E1
1.108164167E-1,4.080514526E-1,3.013233948E-1,1.066187851E1,1.067393813E1
1.208474167E-1,4.740641785E-1,2.794688416E-1,1.069600754E1,1.071015485E1
1.308784166E-1,4.842430115E-1,2.694396973E-1,1.058538757E1,1.059988298E1
1.409094167E-1,4.716691589E-1,2.564167786E-1,1.041534119E1,1.042916839E1
1.509404167E-1,4.552033997E-1,2.409988403E-1,1.028720764E1,1.030009377E1
1.609714167E-1,4.498146057E-1,2.284249878E-1,1.016131943E1,1.017383525E1
1.710024166E-1,4.264631653E-1,2.344125366E-1,9.982291718E0,9.994146687E0
1.810334167E-1,3.731739807E-1,2.585124207E-1,9.735305328E0,9.745884122E0
1.910644167E-1,3.296145630E-1,2.776725769E-1,9.502090302E0,9.511859330E0
2.010954167E-1,2.525248718E-1,2.920426941E-1,9.306297455E0,9.314302446E0
2.111264167E-1,2.128573608E-1,2.806663513E-1,9.278155975E0,9.284840341E0
2.211574166E-1,2.383044434E-1,2.350112915E-1,9.427245941E0,9.433185324E0
2.311884167E-1,3.173400879E-1,2.227368164E-1,9.664203186E0,9.671977029E0
2.412194167E-1,4.065545654E-1,1.984872437E-1,9.922715607E0,9.933024152E0
2.512504167E-1,4.861889648E-1,1.999841309E-1,1.009859985E1,1.011227434E1
2.612814167E-1,5.213658142E-1,2.198927307E-1,1.015667908E1,1.017242867E1
2.713124166E-1,4.842430115E-1,2.505789185E-1,1.009021729E1,1.010493770E1
2.813434167E-1,4.023632813E-1,2.661465454E-1,1.002510269E1,1.003670335E1
2.913744167E-1,3.236270142E-1,3.049159241E-1,9.958790588E0,9.968711960E0
3.014054167E-1,2.574645996E-1,3.107537842E-1,9.874964905E0,9.883207364E0
3.114364166E-1,2.556683350E-1,3.330574036E-1,9.795180817E0,9.804175680E0
3.214674167E-1,2.788700867E-1,3.373983765E-1,9.745933228E0,9.755758334E0
3.314984167E-1,3.254232788E-1,3.457809448E-1,9.718839569E0,9.730432022E0
3.415304167E-1,3.576063538E-1,3.297642517E-1,9.719737701E0,9.731902576E0
3.515614166E-1,3.722758484E-1,3.020718384E-1,9.774374084E0,9.786124128E0
3.615924167E-1,3.718267822E-1,2.856060791E-1,9.858349457E0,9.869492388E0
3.716234167E-1,3.894900513E-1,2.475851440E-1,9.927954712E0,9.938676253E0
3.816544167E-1,4.062551880E-1,2.371069336E-1,9.962233429E0,9.973332335E0
3.916854167E-1,4.152365112E-1,2.336640930E-1,9.977202301E0,9.988572772E0
4.017164166E-1,4.071533203E-1,2.546205139E-1,9.948312378E0,9.959895813E0
4.117474167E-1,4.041595459E-1,2.597099304E-1,9.899813232E0,9.911462870E0
4.217784167E-1,4.107458496E-1,2.728825378E-1,9.859996033E0,9.872319829E0
4.318094167E-1,4.046086121E-1,3.028202820E-1,9.821076965E0,9.834071436E0
4.418404167E-1,3.826043701E-1,3.083587646E-1,9.787846069E0,9.800173565E0
4.518714166E-1,3.748205566E-1,3.210823059E-1,9.767039337E0,9.779501097E0
4.619024167E-1,3.661386108E-1,3.026705933E-1,9.775870972E0,9.787406205E0
4.719334167E-1,3.459306335E-1,3.100053406E-1,9.805958405E0,9.816954291E0
4.819644167E-1,3.414399719E-1,3.025209045E-1,9.837243347E0,9.847814825E0
4.919954166E-1,3.429368591E-1,3.026705933E-1,9.871671753E0,9.882262817E0
5.020264167E-1,3.450325012E-1,2.983296204E-1,9.881251831E0,9.891773640E0
5.120574167E-1,3.668870544E-1,2.847079468E-1,9.869276733E0,9.880196757E0
5.220884167E-1,3.908372498E-1,2.935395813E-1,9.840386810E0,9.852519060E0
5.321194167E-1,4.074526978E-1,2.597099304E-1,9.836494904E0,9.848355139E0
5.421504166E-1,3.939807129E-1,2.291734314E-1,9.847571869E0,9.858114068E0
5.521814167E-1,3.953279114E-1,2.109114075E-1,9.826465759E0,9.836676120E0
5.622134167E-1,3.932322693E-1,2.034269714E-1,9.824220428E0,9.834191435E0
5.722444167E-1,3.592529297E-1,2.026785278E-1,9.838440857E0,9.847083820E0
5.822754166E-1,3.552113342E-1,2.107617188E-1,9.870025177E0,9.878663502E0
5.923064167E-1,3.559597778E-1,2.502795410E-1,9.893077240E0,9.902642298E0
6.023374167E-1,3.662882996E-1,3.037184143E-1,9.890233154E0,9.901672780E0
6.123684167E-1,3.812571716E-1,3.236270142E-1,9.877210236E0,9.889862158E0
6.223994167E-1,3.736230469E-1,3.502716064E-1,9.831405487E0,9.844735559E0
6.324304166E-1,3.522175598E-1,3.520678711E-1,9.833501129E0,9.846103465E0
6.424614167E-1,3.474275208E-1,3.562591553E-1,9.840237122E0,9.852811430E0
6.524924167E-1,3.520678711E-1,3.420387268E-1,9.855655060E0,9.867871044E0
6.625234167E-1,3.815565491E-1,3.335064697E-1,9.864786072E0,9.877794096E0
6.725544166E-1,3.890409851E-1,3.182382202E-1,9.818831635E0,9.831687705E0
6.825854167E-1,3.718267822E-1,3.113525391E-1,9.793534241E0,9.805534584E0
6.926164167E-1,3.860472107E-1,2.871029663E-1,9.831106110E0,9.842870918E0
7.026474167E-1,4.156855774E-1,2.622546387E-1,9.984686737E0,9.996776542E0
