"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.951791637E-3,3.981719971E-2,-3.397933960E-1,9.492809601E0,9.498972528E0
8.080208325E-3,-1.513352966E-1,-3.603007507E-1,9.237740021E0,9.246002363E0
1.811120834E-2,-1.240919495E-1,-3.522175598E-1,9.137598267E0,9.145225973E0
2.814320836E-2,-1.378633118E-1,-3.635939026E-1,9.291029205E0,9.299162893E0
3.817420837E-2,-9.490264893E-2,-3.619473267E-1,9.611512756E0,9.618793575E0
4.820620833E-2,1.407073975E-2,-3.694317627E-1,9.930948486E0,9.937827512E0
5.823820835E-2,1.092727661E-1,-3.788621521E-1,1.012554382E1,1.013321838E1
6.826920836E-2,1.689985657E-1,-3.911366272E-1,1.016985168E1,1.017877358E1
7.830120833E-2,1.838177490E-1,-3.983216858E-1,1.006132736E1,1.007088663E1
8.833220834E-2,1.627116394E-1,-3.873944092E-1,9.914782104E0,9.923681458E0
9.836420836E-2,1.037342834E-1,-3.806584167E-1,9.785451050E0,9.793401548E0
1.083952084E-1,2.484832764E-2,-3.537144470E-1,9.690548401E0,9.697033549E0
1.184272083E-1,8.831634521E-3,-3.306623840E-1,9.682914276E0,9.688562561E0
1.284582083E-1,1.496887207E-4,-3.266207886E-1,9.717642059E0,9.723129556E0
1.384902084E-1,2.050735474E-2,-3.391946411E-1,9.804311829E0,9.810198978E0
1.485212083E-1,4.445755005E-2,-3.549119568E-1,9.881850586E0,9.888321899E0
1.585532083E-1,7.424560547E-2,-3.577560425E-1,9.926607513E0,9.933329679E0
1.685842084E-1,8.083190918E-2,-3.728746033E-1,9.909243622E0,9.916586027E0
1.786162083E-1,7.634124756E-2,-3.671864319E-1,9.882000275E0,9.889114384E0
1.886482083E-1,6.840774536E-2,-3.498225403E-1,9.851314087E0,9.857760632E0
1.986792083E-1,5.927673340E-2,-3.610491943E-1,9.842931519E0,9.849729495E0
2.087112084E-1,6.780899048E-2,-3.617976379E-1,9.860145721E0,9.867014201E0
2.187411250E-1,5.358856201E-2,-3.644920349E-1,9.841434631E0,9.848327867E0
2.287731250E-1,5.029541016E-2,-3.625460815E-1,9.819729767E0,9.826548834E0
2.388041250E-1,3.876937866E-2,-3.644920349E-1,9.817933502E0,9.824773573E0
2.488361250E-1,2.140548706E-2,-3.525169373E-1,9.841584320E0,9.847918984E0
2.588671250E-1,1.960922241E-2,-3.598516846E-1,9.890981598E0,9.897544884E0
2.688991250E-1,5.448669434E-2,-3.722758484E-1,9.933044128E0,9.940167190E0
2.789301250E-1,6.002517700E-2,-3.623963928E-1,9.875413971E0,9.882243433E0
2.889621250E-1,5.942642212E-2,-3.465293884E-1,9.824669495E0,9.830958488E0
2.989931250E-1,2.185455322E-2,-3.507206726E-1,9.866582336E0,9.872837972E0
3.090251250E-1,2.859054565E-2,-3.754193115E-1,9.906249847E0,9.913402197E0
3.190571250E-1,8.861572266E-2,-3.947291565E-1,9.819879456E0,9.828209215E0
3.290881250E-1,1.170565796E-1,-4.191284180E-1,9.764794006E0,9.774485811E0
3.391201250E-1,4.296066284E-2,-4.074526978E-1,9.777966614E0,9.786546603E0
3.491511250E-1,-9.729766846E-3,-3.974235535E-1,9.797426147E0,9.805488222E0
3.591831250E-1,9.131011963E-3,-4.129911804E-1,9.781708832E0,9.790427609E0
3.692141250E-1,-6.735992432E-3,-4.074526978E-1,9.826465759E0,9.834911916E0
3.792461250E-1,1.496887207E-4,-4.025129700E-1,9.861941986E0,9.870152808E0
3.892771250E-1,2.903961182E-2,-3.966751099E-1,9.872569885E0,9.880578454E0
3.993091250E-1,5.718109131E-2,-3.772155762E-1,9.854906616E0,9.862289069E0
4.093401250E-1,6.526428223E-2,-3.314108276E-1,9.800120544E0,9.805939794E0
4.193721250E-1,6.002517700E-2,-3.221301270E-1,9.772278442E0,9.777770543E0
4.294031250E-1,2.305206299E-2,-3.068618774E-1,9.775571594E0,9.780413877E0
4.394351250E-1,8.831634521E-3,-3.080593872E-1,9.800270233E0,9.805114748E0
4.494671250E-1,4.490661621E-4,-3.064128113E-1,9.860445099E0,9.865204841E0
4.594981250E-1,5.239105225E-3,-3.312611389E-1,9.910740509E0,9.916276460E0
4.695301250E-1,1.541793823E-2,-3.682342529E-1,9.942025452E0,9.948854419E0
4.795611250E-1,7.783813477E-3,-3.841012573E-1,9.946665802E0,9.954082325E0
4.895931250E-1,8.382568359E-3,-4.093986511E-1,9.907447357E0,9.915905942E0
4.996241250E-1,-8.232879639E-3,-4.182302856E-1,9.880802765E0,9.889653565E0
5.096561250E-1,-1.317260742E-2,-4.324507141E-1,9.849966888E0,9.859464227E0
5.196871250E-1,-1.212478638E-2,-4.403842163E-1,9.822274475E0,9.832149365E0
5.297191250E-1,-1.212478638E-2,-4.409829712E-1,9.799072723E0,9.808997871E0
5.397501250E-1,-1.077758789E-2,-4.475692749E-1,9.805958405E0,9.816173116E0
5.497821250E-1,-1.796264648E-3,-4.382885742E-1,9.839937744E0,9.849694153E0
5.598141250E-1,1.347198486E-2,-4.451742554E-1,9.863738251E0,9.873788224E0
5.698451250E-1,2.200424194E-2,-4.505630493E-1,9.906549225E0,9.916814448E0
5.798771250E-1,3.248245239E-2,-4.492158508E-1,9.951006775E0,9.961193996E0
5.899081250E-1,2.634521484E-2,-4.565505981E-1,9.948312378E0,9.958817786E0
5.999401250E-1,1.781295776E-2,-4.516108704E-1,9.837542725E0,9.847919401E0
6.099711250E-1,-6.586303711E-3,-4.390370178E-1,9.806706848E0,9.816531775E0
6.200031250E-1,-2.559677124E-2,-4.230203247E-1,9.910441132E0,9.919498214E0
6.300341250E-1,1.646575928E-3,-4.004173279E-1,9.838590546E0,9.846735534E0
