"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.081499970E-3,1.161135406E0,1.050814819E-1,9.322314148E0,9.394935797E0
1.111349999E-2,1.234333191E0,2.074685669E-1,8.912915497E0,9.000371342E0
2.114450000E-2,1.247356110E0,2.800675964E-1,8.683891754E0,8.777488885E0
3.117650002E-2,1.251547394E0,2.962339783E-1,8.900940399E0,8.993378978E0
4.120749998E-2,1.250499573E0,2.555186462E-1,9.400900726E0,9.487147802E0
5.123950000E-2,1.283431091E0,1.675016785E-1,9.884994049E0,9.969371070E0
6.127050001E-2,1.303938446E0,6.721023560E-2,1.017494110E1,1.025837215E1
7.130249997E-2,1.279988251E0,-2.095642090E-2,1.024664200E1,1.032630047E1
8.133449999E-2,1.222058716E0,-6.825805664E-2,1.019455032E1,1.026776232E1
9.136550000E-2,1.180295563E0,-9.026229858E-2,1.012554382E1,1.019450257E1
1.013975000E-1,1.146765289E0,-6.466552734E-2,1.004426285E1,1.010972148E1
1.114285000E-1,1.156345367E0,-5.239105225E-2,9.879904633E0,9.947481841E0
1.214605000E-1,1.136287079E0,-8.232879639E-3,9.702822876E0,9.769134448E0
1.314915000E-1,1.134640503E0,3.637435913E-2,9.564510498E0,9.631645406E0
1.415235000E-1,1.147663422E0,7.394622803E-2,9.528585205E0,9.597735951E0
1.515545000E-1,1.165177002E0,1.125659180E-1,9.593849487E0,9.665001630E0
1.615865000E-1,1.187929688E0,1.083746338E-1,9.708361359E0,9.781370163E0
1.716175000E-1,1.175505524E0,9.789642334E-2,9.833800507E0,9.904293481E0
1.816495000E-1,1.139430542E0,7.274871826E-2,9.896370392E0,9.962014920E0
1.916805000E-1,1.128503265E0,3.667373657E-2,9.935888214E0,9.999836958E0
2.017125000E-1,1.112785950E0,1.960922241E-2,9.929601288E0,9.991779563E0
2.117435000E-1,1.102756805E0,4.790039063E-2,9.824819183E0,9.886629305E0
2.217755000E-1,1.099613342E0,6.376739502E-2,9.757159882E0,9.819133604E0
2.318075000E-1,1.131946106E0,3.472778320E-2,9.842033386E0,9.906973765E0
2.418385000E-1,1.214723969E0,3.308120728E-2,9.848020935E0,9.922709561E0
2.518705000E-1,1.246457977E0,5.119354248E-2,9.780661011E0,9.859898989E0
2.619015000E-1,1.197659454E0,5.328918457E-2,9.708061981E0,9.781804299E0
2.719335000E-1,1.153351593E0,2.978805542E-2,9.702074432E0,9.770432719E0
2.819645000E-1,1.152603149E0,-1.077758789E-2,9.780062256E0,9.847752429E0
2.919965000E-1,1.196611633E0,-2.679428101E-2,9.896071014E0,9.968190350E0
3.020275000E-1,1.212179260E0,5.837860107E-3,9.927355957E0,1.000109039E1
3.120595000E-1,1.190474396E0,4.281097412E-2,9.854756927E0,9.926494657E0
3.220905000E-1,1.159788208E0,8.936416626E-2,9.757010193E0,9.826105156E0
3.321225000E-1,1.168170776E0,1.254391479E-1,9.716294861E0,9.787070234E0
3.421535000E-1,1.182241516E0,1.561253357E-1,9.737400970E0,9.810150243E0
3.521855000E-1,1.191671906E0,1.722917175E-1,9.772128754E0,9.846027968E0
3.622165000E-1,1.181792450E0,1.618135071E-1,9.802964630E0,9.875268733E0
3.722485000E-1,1.185384979E0,1.377136230E-1,9.802066498E0,9.874442274E0
3.822795000E-1,1.162482605E0,1.065783691E-1,9.836345215E0,9.905372882E0
3.923115000E-1,1.157243500E0,8.412506104E-2,9.846673737E0,9.914800715E0
4.023435000E-1,1.166224823E0,5.538482666E-2,9.803713074E0,9.872990319E0
4.123745000E-1,1.175355835E0,4.939727783E-2,9.773326263E0,9.843871580E0
4.224065000E-1,1.176253967E0,1.332229614E-2,9.762997742E0,9.833609499E0
4.324375000E-1,1.181493073E0,2.395019531E-3,9.780361633E0,9.851467165E0
4.424695000E-1,1.183738403E0,2.095642090E-3,9.782157898E0,9.853519886E0
4.525005000E-1,1.176403656E0,-1.392105103E-2,9.795779572E0,9.866175387E0
4.625325000E-1,1.190025330E0,-1.062789917E-2,9.822873230E0,9.894701195E0
4.725635000E-1,1.195264435E0,-5.388793945E-3,9.843679962E0,9.915983124E0
4.825955000E-1,1.195264435E0,2.424957275E-2,9.855505371E0,9.927750562E0
4.926265000E-1,1.193767548E0,4.221221924E-2,9.850116577E0,9.922280958E0
5.026585000E-1,1.187480621E0,7.828720093E-2,9.814340973E0,9.886229202E0
5.126895000E-1,1.164278870E0,1.222956848E-1,9.853409729E0,9.922710558E0
5.227215000E-1,1.135388947E0,1.597178650E-1,9.816586304E0,9.883318497E0
5.327525000E-1,1.110390930E0,1.800755310E-1,9.763297119E0,9.827887151E0
