"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.062916803E-4,5.935157776E-1,2.860551453E-1,9.445058899E0,9.468010674E0
9.724708332E-3,6.698570251E-1,3.826043701E-1,9.055419159E0,9.088218235E0
1.975670829E-2,6.788383484E-1,4.513114929E-1,8.894653473E0,8.931929465E0
2.978770831E-2,6.759942627E-1,4.899311829E-1,9.080267487E0,9.118566688E0
3.981970833E-2,6.441105652E-1,4.670288086E-1,9.425749054E0,9.459267390E0
4.985070828E-2,6.728507996E-1,3.920347595E-1,9.809550934E0,9.840412033E0
5.988170829E-2,7.068301392E-1,3.445834351E-1,1.009800110E1,1.012857210E1
6.991370831E-2,7.033872986E-1,2.944377136E-1,1.025756927E1,1.028587258E1
7.994470833E-2,6.801855469E-1,2.878514099E-1,1.022972717E1,1.025635553E1
8.997670829E-2,6.197113037E-1,2.791694641E-1,1.009800110E1,1.012084996E1
1.000077083E-1,5.746549988E-1,2.412982178E-1,9.935289459E0,9.954819428E0
1.100397083E-1,5.539979553E-1,2.249821472E-1,9.812993774E0,9.831194104E0
1.200707083E-1,5.677693176E-1,2.429447937E-1,9.720785522E0,9.740382710E0
1.301027083E-1,5.652246094E-1,2.926414490E-1,9.614955597E0,9.635999637E0
1.401337083E-1,5.563929749E-1,3.041674805E-1,9.680968323E0,9.701713182E0
1.501647083E-1,5.986051941E-1,2.860551453E-1,9.809401245E0,9.831811049E0
1.601967083E-1,6.511459351E-1,2.794688416E-1,9.907896423E0,9.933202172E0
1.702277083E-1,6.438111877E-1,2.914439392E-1,9.966724091E0,9.991747671E0
1.802597083E-1,5.960604858E-1,3.173400879E-1,9.913285217E0,9.936257677E0
1.902907083E-1,5.658233643E-1,3.143463135E-1,9.888885956E0,9.910047181E0
2.003227083E-1,5.822891235E-1,2.829116821E-1,9.881251831E0,9.902435932E0
2.103537083E-1,6.376739502E-1,2.529739380E-1,9.873617706E0,9.897421406E0
2.203857083E-1,6.761439514E-1,2.595602417E-1,9.869875488E0,9.896412699E0
2.304167083E-1,6.500981140E-1,3.011737061E-1,9.835147705E0,9.861210044E0
2.404477083E-1,6.135740662E-1,3.523672485E-1,9.764943695E0,9.790544478E0
2.504797083E-1,5.909710693E-1,3.950285339E-1,9.740544434E0,9.766447676E0
2.605107083E-1,6.138734436E-1,4.225712585E-1,9.784403229E0,9.812744449E0
2.705427083E-1,6.292913818E-1,4.243675232E-1,9.830806732E0,9.860063714E0
2.805737083E-1,6.512956238E-1,3.959266663E-1,9.868677979E0,9.898067941E0
2.906057083E-1,6.292913818E-1,3.779640198E-1,9.897268524E0,9.924454075E0
3.006367083E-1,6.186634827E-1,3.171903992E-1,9.888436890E0,9.912847138E0
3.106687083E-1,6.092330933E-1,2.833607483E-1,9.896669769E0,9.919452142E0
3.206997083E-1,5.960604858E-1,2.550695801E-1,9.882599030E0,9.903843303E0
3.307307083E-1,6.123765564E-1,2.457888794E-1,9.841734009E0,9.863830165E0
3.407627083E-1,6.333329773E-1,2.242337036E-1,9.813442841E0,9.836414580E0
3.507937083E-1,6.569837952E-1,2.324665833E-1,9.793384552E0,9.818148980E0
3.608257083E-1,6.415658569E-1,2.351609802E-1,9.787097626E0,9.810921841E0
3.708567083E-1,6.307882690E-1,2.362088013E-1,9.823471985E0,9.846536969E0
3.808887083E-1,6.303392029E-1,2.490820312E-1,9.850865021E0,9.874153687E0
3.909197083E-1,6.457571411E-1,2.656974792E-1,9.853559418E0,9.878270630E0
4.009507083E-1,6.421646118E-1,2.751278687E-1,9.869426422E0,9.894121923E0
